date,value
2025-05-01,920960
2025-06-01,1007961
2025-07-01,1022548
2025-08-01,1059723
2025-09-01,1126494
2025-10-01,1183654
2025-11-01,1214321
2025-12-01,1225597
2026-01-01,1279042
2026-02-01,1253192
2026-03-01,1220922
2026-04-01,1304281
2026-05-01,1415557
