date,value
1945-10-01,22.517979592926643
1946-10-01,19.881859083963420
1947-10-01,18.344696470608320
1948-10-01,17.562251077424037
1949-10-01,18.091003736967163
1950-10-01,19.466076418807827
1951-10-01,20.095098327727150
1952-01-01,20.011529797353000
1952-04-01,20.349906331827263
1952-07-01,20.079444119023920
1952-10-01,19.009924863262203
1953-01-01,18.597391397374345
1953-04-01,17.685258682601273
1953-07-01,17.092566180676830
1953-10-01,18.094793718155724
1954-01-01,18.895452169469863
1954-04-01,19.981380135195240
1954-07-01,21.150427083632103
1954-10-01,21.069885416630230
1955-01-01,21.341965305859674
1955-04-01,22.688950521931680
1955-07-01,23.327710362653256
1955-10-01,23.182879000104087
1956-01-01,23.949655051906520
1956-04-01,23.121056343934240
1956-07-01,22.486338784463328
1956-10-01,23.535043489132352
1957-01-01,22.402242997861908
1957-04-01,23.185308033069560
1957-07-01,21.274078290215720
1957-10-01,21.104851483782127
1958-01-01,21.714213272957576
1958-04-01,22.455837210954150
1958-07-01,23.850710353810495
1958-10-01,24.230439996373303
1959-01-01,24.405680881386782
1959-04-01,24.892354758080547
1959-07-01,24.326588970431615
1959-10-01,25.155151144585620
1960-01-01,23.850472805418008
1960-04-01,24.012731909072585
1960-07-01,22.498474554411217
1960-10-01,24.265911624676317
1961-01-01,26.024084358778904
1961-04-01,25.797021897625930
1961-07-01,25.981675224855582
1961-10-01,27.077545322208017
1962-01-01,26.418228042959736
1962-04-01,21.295070159867368
1962-07-01,21.952551057551965
1962-10-01,25.489333228685112
1963-01-01,25.888961343083576
1963-04-01,26.605601887163175
1963-07-01,27.197827849289375
1963-10-01,25.824635392940696
1964-01-01,26.816874130836855
1964-04-01,27.122300840871265
1964-07-01,27.454267358822747
1964-10-01,27.530336319671570
1965-01-01,27.745833168479520
1965-04-01,26.641658410641416
1965-07-01,27.970571252812360
1965-10-01,28.762914596209240
1966-01-01,27.815068100064070
1966-04-01,26.528535272329112
1966-07-01,24.101923578075000
1966-10-01,25.006055011438900
1967-01-01,27.068858629453130
1967-04-01,27.002113185700240
1967-07-01,27.809215999093000
1967-10-01,28.063692980176840
1968-01-01,26.132618508898590
1968-04-01,28.330194740021668
1968-07-01,28.207875982280190
1968-10-01,30.034446625501644
1969-01-01,28.467455544070795
1969-04-01,27.128065359717525
1969-07-01,26.243985387509465
1969-10-01,24.619699127533520
1970-01-01,23.784100433440585
1970-04-01,19.393094344338490
1970-07-01,21.572650440158885
1970-10-01,22.817573285252680
1971-01-01,24.091194651712065
1971-04-01,23.580676121714890
1971-07-01,22.843051532114330
1971-10-01,23.713891010606360
1972-01-01,24.254665904918590
1972-04-01,23.751150203417417
1972-07-01,23.684431320606620
1972-10-01,25.719393854499074
1973-01-01,23.676056585628626
1973-04-01,21.686970873475016
1973-07-01,22.200506782428917
1973-10-01,18.751331105496128
1974-01-01,17.645504242192175
1974-04-01,15.592121778499060
1974-07-01,11.658128493404114
1974-10-01,11.409439203020396
1975-01-01,13.580745605127580
1975-04-01,14.986298003714277
1975-07-01,13.070808470223630
1975-10-01,13.676160345038934
1976-01-01,15.336016870430813
1976-04-01,15.353577858976100
1976-07-01,15.269363831527590
1976-10-01,15.399942314358292
1977-01-01,14.004342880753736
1977-04-01,14.037349720134992
1977-07-01,13.151720539667792
1977-10-01,12.295197095288032
1978-01-01,11.366734680905340
1978-04-01,11.771188353578417
1978-07-01,12.191110161158210
1978-10-01,11.401474931079528
1979-01-01,11.756609751469320
1979-04-01,11.644352642920843
1979-07-01,11.979630111625774
1979-10-01,12.108157481334564
1980-01-01,10.966611501317193
1980-04-01,12.060165576434027
1980-07-01,13.029148810414402
1980-10-01,13.926698287819702
1981-01-01,13.685865920342340
1981-04-01,13.190970027632448
1981-07-01,11.113145910343942
1981-10-01,11.629283505563366
1982-01-01,9.986230122250268
1982-04-01,9.498854353177350
1982-07-01,9.991073815299272
1982-10-01,11.619464446201162
1983-01-01,12.398699779354610
1983-04-01,13.486453616111971
1983-07-01,12.920515675222608
1983-10-01,12.200275723379065
1984-01-01,11.448488892106260
1984-04-01,10.554800412993822
1984-07-01,10.871551293678170
1984-10-01,10.724820003928642
1985-01-01,11.237367097831330
1985-04-01,11.565404276160878
1985-07-01,10.757229889640490
1985-10-01,12.285436840204400
1986-01-01,13.347055327051724
1986-04-01,13.558203695628580
1986-07-01,12.217073512680080
1986-10-01,13.204232908580757
1987-01-01,15.072706899715875
1987-04-01,14.893082005991015
1987-07-01,15.270551404829320
1987-10-01,12.481780366563152
1988-01-01,13.141521934740169
1988-04-01,13.577456137475128
1988-07-01,13.437992372104912
1988-10-01,13.867405025730756
1989-01-01,14.236178026175384
1989-04-01,14.725321034765440
1989-07-01,15.495212726662200
1989-10-01,15.682186535072791
1990-01-01,14.706264547322704
1990-04-01,15.046309012411020
1990-07-01,12.689093828107383
1990-10-01,13.799049455753783
